E:\ProgramData\Anaconda3\envs\base124\python.exe G:\DRPrograme\seinet3\train_open_contrastive.py
[Epoch 4] ce_loss: 0.4344 | con_loss: 1.3473
[Epoch 4] ce_loss: 0.4845 | con_loss: 1.3515
[Epoch 4] ce_loss: 0.4494 | con_loss: 1.2826
[Epoch 4] ce_loss: 0.4427 | con_loss: 1.3318
[Epoch 4] ce_loss: 0.4838 | con_loss: 1.3142
[Epoch 4] ce_loss: 0.4388 | con_loss: 1.3511
[Epoch 4] ce_loss: 0.4420 | con_loss: 1.3541
[Epoch 4] ce_loss: 0.4824 | con_loss: 1.3729
[Epoch 4] ce_loss: 0.3958 | con_loss: 1.2950
[Epoch 4] ce_loss: 0.4225 | con_loss: 1.2773
[Epoch 4] ce_loss: 0.4250 | con_loss: 1.2954
[Epoch 4] ce_loss: 0.4097 | con_loss: 1.2900
[Epoch 4] ce_loss: 0.4113 | con_loss: 1.3275
[Epoch 4] ce_loss: 0.3850 | con_loss: 1.3504
[Epoch 4] ce_loss: 0.3636 | con_loss: 1.2986
[Epoch 4] ce_loss: 0.4910 | con_loss: 1.4074
[Epoch 4] ce_loss: 0.3937 | con_loss: 1.2939
[Epoch 4] ce_loss: 0.3678 | con_loss: 1.3165
[Epoch 4] ce_loss: 0.4042 | con_loss: 1.3753
[Epoch 4] ce_loss: 0.4464 | con_loss: 1.3431
[Epoch 4] ce_loss: 0.3426 | con_loss: 1.3018
[Epoch 4] ce_loss: 0.3612 | con_loss: 1.3265
[Epoch 4] ce_loss: 0.3524 | con_loss: 1.3136
[Epoch 4] ce_loss: 0.3994 | con_loss: 1.3055
[Epoch 4] ce_loss: 0.3827 | con_loss: 1.4033
[Epoch 4] ce_loss: 0.3754 | con_loss: 1.3294
[Epoch 4] ce_loss: 0.3884 | con_loss: 1.3813
[Epoch 4] ce_loss: 0.3081 | con_loss: 1.2729
[Epoch 4] ce_loss: 0.3512 | con_loss: 1.3397
[Epoch 4] ce_loss: 0.3195 | con_loss: 1.2781
[Epoch 4] ce_loss: 0.3616 | con_loss: 1.3290
[Epoch 4] ce_loss: 0.3261 | con_loss: 1.3095
[Epoch 4] ce_loss: 0.3314 | con_loss: 1.2845
[Epoch 4] ce_loss: 0.3173 | con_loss: 1.3108
[Epoch 4] ce_loss: 0.3066 | con_loss: 1.2601
[Epoch 4] ce_loss: 0.3013 | con_loss: 1.3131
[Epoch 4] ce_loss: 0.2728 | con_loss: 1.2676
[Epoch 4] ce_loss: 0.3006 | con_loss: 1.3073
[Epoch 4] ce_loss: 0.2729 | con_loss: 1.2833
[Epoch 4] ce_loss: 0.3048 | con_loss: 1.2999
[Epoch 4] ce_loss: 0.2983 | con_loss: 1.3164
[Epoch 4] ce_loss: 0.2644 | con_loss: 1.2767
